CROP,IDREGION,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total potatoes,NL32,41,43,43,43.5,39,43,43.6,40.5,41.1,38.1,43,39.1,38.1,39.1,39.2,40.6,41.1,36.5,41.4,38.3,42.1,38.5,38.9,39.1,34.8
Soft wheat,NL32,8.9,9.9,8.9,8.5,7.6,8.9,8.3,8.2,8.2,8.9,9.4,8.9,8.8,7.1,8.9,9.4,9,8.1,8.8,8.9,9.4,9.6,8.2,9.7,9.0
Spring barley,NL21,5.4,5.6,6.1,6.2,5.2,5.9,5.7,5.5,5.3,5.8,6.1,5.7,5.4,5.6,5.3,6.1,5.3,5.2,6.6,6.3,6.1,6.3,6.6,6.3,6.1
Sugar beet,NL21,47,46,48,48.6,45,55,55.2,50.6,54.1,51.3,60.1,59,63.3,67.1,73.4,78.8,68.3,75.8,74.6,71.5,78.7,76.8,72.6,86.2,65.2
Total potatoes,NL21,46,39,44,45,42,45,43.5,41.4,43.7,35,44.2,45.1,36.1,41.7,49.4,46,38.7,43.3,45.2,37.8,44.3,43,45.6,46.3,34.3
Soft wheat,NL21,7.2,6.9,7.3,6.7,6.5,6.5,7.2,6.5,6.5,7.7,7.5,8.1,7.8,6.1,7.8,7.7,6.9,6.7,7.9,7.5,8.1,8.3,7.1,6.1,7.4
Spring barley,NL31,3.1,4.3,3.9,5.9,5.6,6.2,6.2,4.9,5.6,5.6,5.8,5.1,5.6,4.8,5.9,6.2,4,5.7,6.9,4.7,4.8,6,7.1,6.2,6.4
Sugar beet,NL31,49,46,48,47.5,47,60.2,59.1,56.2,55.7,56,62.5,62.3,62.2,65,67.7,74.4,66,76.9,76.1,80.9,86.3,77.9,67.2,87.8,78.3
Total potatoes,NL31,46,42,47,43.3,42,44,50,46,45.2,42.5,50.7,44.7,42.5,47.8,46.4,43.1,43.4,45.3,47.3,40.3,39.3,45.5,43.0,50.6,38.2
Soft wheat,NL31,7.5,7.5,9.3,8.1,6.9,8.4,8.4,7.1,8,8.7,8.8,8.1,8.1,5.4,8.9,8.6,8.8,5.4,8.9,8.5,8.4,7.4,8.2,9.4,9.2
Spring barley,NL34,5.4,6,8.1,6.9,6.4,6.7,6.5,5.6,5.8,7.6,7.2,7,6.9,5.7,7.1,7.8,7,6,6.4,7.1,6.8,6.8,7.0,6.8,6.2
Sugar beet,NL34,54,59,54,60.3,51,61,62.1,54.3,59.4,62.8,67.3,69.2,66.9,66.3,69.3,80.3,80,81,78.4,77.5,93.1,90.7,85.9,100.0,76.0
Total potatoes,NL34,43,40,43,46.5,41,48,49.2,42.7,49.6,42.9,47.8,46,39,45.4,47.9,46,42.1,45.9,43.8,41.7,46.4,40.8,41.1,46.1,32.7
Soft wheat,NL34,9,9.1,9.8,7.8,8.9,9.3,9.2,8.4,8.6,9.6,10.1,9.5,9.2,7.7,9,10,9.2,8.2,8.5,9,9.4,9.6,8.2,9.0,9.2
Spring barley,NL33,5.7,6.4,7.4,6.4,6.2,6.4,6.5,5.6,5.9,7.4,6.9,6.9,6.8,5.8,7.6,7.8,7.6,5.2,7.2,6.6,6.8,7.3,6.9,7.0,6.8
Sugar beet,NL33,56,62,62,62.2,51,60.6,60.6,53.8,59.6,62.1,66.8,68.6,66.2,67.7,73,80.6,77,79.4,81.9,79,94,91.1,86.9,95.9,77.1
Total potatoes,NL33,45,45,50,48,41,48,49.5,43.4,49.3,42.7,48,46.7,39.8,47.6,52.1,51.1,49,50.3,50,47.5,50.5,44.4,42.9,51.6,43.3
Soft wheat,NL33,8.9,9.6,9.7,7.5,8.7,9.2,8.9,8.2,8.6,9.4,9.9,9.3,9,7,9.4,9.8,9.5,8.7,8.6,9.7,10,10,8.3,9.8,9.2
